Year,County,Fatalities
2014,Atlantic,41
2015,Atlantic,29
2016,Atlantic,40
2019,Atlantic,32
2020,Atlantic,40
2021,Atlantic,49
2022,Atlantic,34
2014,Bergen,39
2015,Bergen,30
2016,Bergen,35
2019,Bergen,42
2020,Bergen,43
2021,Bergen,35
2022,Bergen,44
2014,Burlington,31
2015,Burlington,48
2016,Burlington,50
2019,Burlington,33
2020,Burlington,42
2021,Burlington,41
2022,Burlington,59
2014,Camden,38
2015,Camden,35
2016,Camden,39
2019,Camden,46
2020,Camden,38
2021,Camden,69
2022,Camden,55
2014,Cape May,12
2015,Cape May,12
2016,Cape May,12
2019,Cape May,12
2020,Cape May,9
2021,Cape May,12
2022,Cape May,15
2014,Cumberland,18
2015,Cumberland,29
2016,Cumberland,32
2019,Cumberland,20
2020,Cumberland,24
2021,Cumberland,28
2022,Cumberland,22
2014,Essex,40
2015,Essex,40
2016,Essex,46
2019,Essex,36
2020,Essex,45
2021,Essex,61
2022,Essex,57
2014,Gloucester,31
2015,Gloucester,23
2016,Gloucester,26
2019,Gloucester,42
2020,Gloucester,35
2021,Gloucester,48
2022,Gloucester,40
2014,Hudson,24
2015,Hudson,27
2016,Hudson,24
2019,Hudson,19
2020,Hudson,24
2021,Hudson,30
2022,Hudson,17
2014,Hunterdon,6
2015,Hunterdon,9
2016,Hunterdon,11
2019,Hunterdon,6
2020,Hunterdon,12
2021,Hunterdon,9
2022,Hunterdon,8
2014,Mercer,26
2015,Mercer,19
2016,Mercer,20
2019,Mercer,21
2020,Mercer,21
2021,Mercer,38
2022,Mercer,27
2014,Middlesex,33
2015,Middlesex,41
2016,Middlesex,47
2019,Middlesex,47
2020,Middlesex,67
2021,Middlesex,47
2022,Middlesex,67
2014,Monmouth,47
2015,Monmouth,47
2016,Monmouth,50
2019,Monmouth,36
2020,Monmouth,34
2021,Monmouth,34
2022,Monmouth,55
2014,Morris,14
2015,Morris,23
2016,Morris,21
2019,Morris,29
2020,Morris,17
2021,Morris,25
2022,Morris,20
2014,Ocean,45
2015,Ocean,38
2016,Ocean,41
2019,Ocean,39
2020,Ocean,30
2021,Ocean,44
2022,Ocean,53
2014,Passaic,24
2015,Passaic,32
2016,Passaic,22
2019,Passaic,31
2020,Passaic,29
2021,Passaic,25
2022,Passaic,26
2014,Salem,19
2015,Salem,11
2016,Salem,15
2019,Salem,9
2020,Salem,14
2021,Salem,22
2022,Salem,20
2014,Somerset,25
2015,Somerset,22
2016,Somerset,19
2019,Somerset,11
2020,Somerset,14
2021,Somerset,25
2022,Somerset,18
2014,Sussex,7
2015,Sussex,10
2016,Sussex,12
2019,Sussex,14
2020,Sussex,7
2021,Sussex,11
2022,Sussex,14
2014,Total,556
2015,Total,562
2016,Total,602
2019,Total,558
2020,Total,587
2021,Total,697
2022,Total,697
2014,Union,30
2015,Union,29
2016,Union,25
2019,Union,23
2020,Union,30
2021,Union,29
2022,Union,30
2014,Warren,6
2015,Warren,8
2016,Warren,15
2019,Warren,10
2020,Warren,12
2021,Warren,15
2022,Warren,16
