FIPS,County,Population (2020),Fatalities (2022),Daily VMT (2021),Fatalities per 100k pop,Fatalities per 1M VMT
34033,Salem,64837,20,2215755,30.846584511929915,9.02626869847975
34009,Cape May,95263,15,3140470,15.745882451738872,4.776355131556742
34041,Warren,109632,16,3924935,14.594279042615295,4.076500629946739
34011,Cumberland,154152,22,3278577,14.271628003528983,6.71022824841387
34015,Gloucester,302294,40,8248443,13.232151481670163,4.849400062533014
34005,Burlington,461860,59,13164523,12.774433811111592,4.48174233126411
34001,Atlantic,274534,34,7224641,12.384622669687543,4.706116193178318
34007,Camden,523485,55,10981045,10.506509260055207,5.00863078149666
34037,Sussex,144221,14,3192167,9.70732417609086,4.385735458075972
34025,Monmouth,643615,55,17035715,8.545481382503516,3.228511395030969
34029,Ocean,637229,53,13391130,8.317261141599017,3.9578437368616393
34023,Middlesex,863162,67,21952068,7.762158204369516,3.0521042482193477
34,Total,9288994,697,201843176,7.50350360867926,3.4531759448731623
34021,Mercer,387340,27,9563525,6.970620127020189,2.8232267913766105
34013,Essex,863728,57,12887689,6.599299779560232,4.422825535284099
34019,Hunterdon,128947,8,4795300,6.204099358651228,1.6683002106229015
34039,Union,575345,30,10635979,5.214262746699806,2.820614820694926
34035,Somerset,345361,18,8935211,5.211937653643579,2.014501951884516
34031,Passaic,524118,26,7759462,4.960714953502837,3.3507477709150453
34003,Bergen,955732,44,19620842,4.603801065570683,2.242513343718888
34027,Morris,509285,20,14086836,3.9270742315206615,1.4197652333000825
34017,Hudson,724854,17,5808865,2.3452998810795003,2.9265613850554284
